[2026-01-20T04:18:13.790+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:19:14.107+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:20:14.443+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:21:14.738+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:22:15.042+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:23:15.347+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:24:15.667+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:25:15.954+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:26:16.262+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:27:16.629+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:28:16.928+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:29:17.219+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:30:17.574+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:31:17.876+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:32:18.183+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:33:18.529+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:34:18.822+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:35:19.168+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:36:19.482+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:37:19.828+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:38:20.159+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:39:20.512+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:40:20.863+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:41:21.213+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:42:21.539+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:43:21.910+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:44:22.259+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:45:22.609+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:46:22.945+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:47:23.252+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:48:23.599+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:49:23.922+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:50:24.229+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:51:24.572+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:52:24.911+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:53:25.299+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:54:25.605+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:55:25.958+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:56:26.291+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:57:26.601+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:58:26.971+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T04:59:27.318+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:00:27.656+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:01:27.962+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:02:28.275+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:03:28.572+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:04:28.901+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:05:29.255+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:06:29.644+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:07:30.009+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:08:30.390+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:09:30.722+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:10:31.042+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T05:11:31.485+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T06:08:02.171+0000] {local_task_job_runner.py:223} ERROR - Heartbeat time limit exceeded!
[2026-01-20T06:08:02.177+0000] {local_task_job_runner.py:240} INFO - ::endgroup::
[2026-01-20T06:08:02.184+0000] {process_utils.py:132} INFO - Sending 15 to group 3772. PIDs of all processes in the group: [3772]
[2026-01-20T06:08:02.186+0000] {process_utils.py:87} INFO - Sending the signal 15 to group 3772
[2026-01-20T06:08:02.188+0000] {taskinstance.py:3083} ERROR - Received SIGTERM. Terminating subprocesses.
[2026-01-20T06:08:02.330+0000] {taskinstance.py:3301} ERROR - Task failed with exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/taskinstance.py", line 767, in _execute_task
    result = _execute_callable(context=context, **execute_callable_kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/taskinstance.py", line 733, in _execute_callable
    return ExecutionCallableRunner(
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/utils/operator_helpers.py", line 252, in run
    return self.func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/baseoperator.py", line 406, in wrapper
    return func(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/providers/amazon/aws/sensors/s3.py", line 189, in execute
    super().execute(context)
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/baseoperator.py", line 406, in wrapper
    return func(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/sensors/base.py", line 334, in execute
    time.sleep(self._get_next_poke_interval(started_at, run_duration, poke_count))
  File "/home/airflow/.local/lib/python3.12/site-packages/airflow/models/taskinstance.py", line 3085, in signal_handler
    raise AirflowTaskTerminated("Task received SIGTERM signal")
airflow.exceptions.AirflowTaskTerminated: Task received SIGTERM signal
[2026-01-20T06:08:02.372+0000] {taskinstance.py:1225} INFO - Marking task as UP_FOR_RETRY. dag_id=silver_layer_sensor_driven, task_id=wait_for_bronze_data, run_id=scheduled__2026-01-19T02:00:00+00:00, execution_date=20260119T020000, start_date=20260120T020014, end_date=20260120T060802
[2026-01-20T06:08:02.446+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2026-01-20T06:08:02.480+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=3772, status='terminated', exitcode=2, started='02:00:13') (3772) terminated with exit code 2
